,file,num_iter,run_time_iter,opt_thres,opt_dist,opt_I,run_time_iter_cumsum,max_opt_I
0,time1672288978,3,"[113.0522, 113.9932, 110.7159]","[array([-8.  , -2.64, -0.4 ,  2.48,  3.6 ,  8.  ]), array([-8.  , -2.48, -1.52,  1.52,  2.4 ,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ])]","[array([3.36329707e-01, 1.30755486e-02, 3.15202997e-01, 1.10456676e-08,
       3.35391736e-01]), array([3.43294395e-01, 3.28682088e-09, 3.13030316e-01, 2.47050876e-09,
       3.43675283e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01])]","[1.3489596669185366, 1.4342883641040007, 1.434335021342342]",[113.0522 227.0454 337.7613],1.434335021342342
1,time1672289317,6,"[112.9859, 113.6212, 113.554, 112.7498, 114.7867, 113.4327]","[array([-8.  , -3.12, -0.48,  0.88,  3.04,  8.  ]), array([-8.  , -2.88, -1.04,  0.96,  2.8 ,  8.  ]), array([-8.  , -2.72, -1.28,  1.2 ,  2.64,  8.  ]), array([-8.  , -2.56, -1.44,  1.44,  2.48,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ])]","[array([0.28014409, 0.14912591, 0.13631476, 0.14074193, 0.29367331]), array([0.31155009, 0.07477213, 0.22914552, 0.07165757, 0.31287469]), array([0.33386515, 0.02287477, 0.2879392 , 0.02044602, 0.33487486]), array([3.43374455e-01, 1.92451165e-08, 3.12745486e-01, 1.40643234e-08,
       3.43880027e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01])]","[1.351583673515292, 1.3961736346964289, 1.4175668055938302, 1.432311241634466, 1.434335021342342, 1.434335021342342]",[112.9859 226.6071 340.1611 452.9109 567.6976 681.1303],1.434335021342342
2,time1672294546,5,"[113.6097, 113.876, 114.7458, 112.6253, 112.6221]","[array([-8.  , -2.96, -0.96,  0.8 ,  2.8 ,  8.  ]), array([-8.  , -2.72, -1.2 ,  1.2 ,  2.72,  8.  ]), array([-8.  , -2.56, -1.36,  1.36,  2.56,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ])]","[array([0.30329374, 0.09550111, 0.20640965, 0.08799313, 0.30680237]), array([0.32947697, 0.03266515, 0.27571079, 0.03266419, 0.3294829 ]), array([3.43901464e-01, 1.86329389e-08, 3.12197035e-01, 1.86329384e-08,
       3.43901464e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01])]","[1.385316078311863, 1.4136995475765206, 1.428714826379192, 1.434335021342342, 1.434335021342342]",[113.6097 227.4857 342.2315 454.8568 567.4789],1.434335021342342
3,time1672314273,3,"[114.8196, 115.9228, 114.7051]","[array([-8.  , -2.64, -0.4 ,  2.4 ,  3.52,  8.  ]), array([-8.  , -2.48, -1.52,  1.52,  2.4 ,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ])]","[array([3.34575222e-01, 1.20686904e-02, 3.15467405e-01, 7.55464326e-08,
       3.37888607e-01]), array([3.43294395e-01, 3.28682088e-09, 3.13030316e-01, 2.47050876e-09,
       3.43675283e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01])]","[1.3575036995725462, 1.4342883641040007, 1.434335021342342]",[114.8196 230.7424 345.4475],1.434335021342342
4,time1672273762,5,"[121.6876, 123.6572, 122.918, 120.8673, 121.4172]","[array([-8.  , -2.64, -1.04,  1.04,  3.04,  8.  ]), array([-8.  , -2.64, -1.28,  1.28,  2.72,  8.  ]), array([-8.  , -2.48, -1.44,  1.44,  2.48,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ])]","[array([0.32537603, 0.05201286, 0.23775748, 0.07864339, 0.30621025]), array([0.33885265, 0.01313061, 0.2935771 , 0.01981025, 0.33462938]), array([3.43662562e-01, 1.17886839e-09, 3.12674874e-01, 1.17886863e-09,
       3.43662561e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01])]","[1.3960669874850273, 1.4194555862341809, 1.433204593421094, 1.434335021342342, 1.434335021342342]",[121.6876 245.3448 368.2628 489.1301 610.5473],1.434335021342342
5,time1672302320,5,"[113.5589, 112.459, 112.0626, 114.3279, 114.0906]","[array([-8.  , -2.96, -0.96,  1.04,  2.64,  8.  ]), array([-8.  , -2.72, -1.28,  1.28,  2.64,  8.  ]), array([-8.  , -2.48, -1.44,  1.44,  2.48,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ])]","[array([0.30586093, 0.07917467, 0.23658968, 0.05372332, 0.3246514 ]), array([0.33462855, 0.01981195, 0.29357557, 0.01313213, 0.33885179]), array([3.43662562e-01, 1.17886839e-09, 3.12674874e-01, 1.17886863e-09,
       3.43662561e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01])]","[1.3960530392955985, 1.4194555865017384, 1.433204593421094, 1.434335021342342, 1.434335021342342]",[113.5589 226.0179 338.0805 452.4084 566.499 ],1.434335021342342
6,time1672272777,5,"[121.3801, 124.0247, 123.0314, 123.5801, 125.4365]","[array([-8.  , -2.96, -0.96,  1.04,  2.8 ,  8.  ]), array([-8.  , -2.72, -1.2 ,  1.2 ,  2.64,  8.  ]), array([-8.  , -2.56, -1.44,  1.44,  2.56,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ])]","[array([0.30513259, 0.08450303, 0.22292615, 0.07219213, 0.3152461 ]), array([0.32977761, 0.03045121, 0.28204239, 0.02359515, 0.33413365]), array([3.43590700e-01, 2.97478525e-08, 3.12818542e-01, 2.97478520e-08,
       3.43590698e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01])]","[1.392992347362465, 1.4155395002231776, 1.431417403490323, 1.434335021342342, 1.434335021342342]",[121.3801 245.4048 368.4362 492.0163 617.4528],1.434335021342342
7,time1672279023,4,"[121.5983, 121.6768, 120.187, 120.502]","[array([-8.  , -2.16,  0.56,  1.92,  3.2 ,  8.  ]), array([-8.  , -2.4 , -1.44,  1.36,  2.64,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ])]","[array([3.36150972e-01, 2.58141349e-09, 2.85525933e-01, 5.64189040e-02,
       3.21904189e-01]), array([3.45115424e-01, 5.13966772e-09, 3.11838116e-01, 3.54017808e-07,
       3.43046102e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01])]","[1.4133798718153772, 1.4295982609148785, 1.434335021342342, 1.434335021342342]",[121.5983 243.2751 363.4621 483.9641],1.434335021342342
8,time1672277222,5,"[120.4525, 123.3179, 125.3331, 117.7598, 116.1959]","[array([-8.  , -2.96, -0.96,  0.88,  2.96,  8.  ]), array([-8.  , -2.72, -1.2 ,  1.12,  2.72,  8.  ]), array([-8.  , -2.56, -1.36,  1.36,  2.56,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ])]","[array([0.30344325, 0.09751722, 0.19864369, 0.09945276, 0.30094308]), array([0.32872835, 0.03593152, 0.27013851, 0.03946588, 0.32573574]), array([3.43901464e-01, 1.86329389e-08, 3.12197035e-01, 1.86329384e-08,
       3.43901464e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01])]","[1.3830768516823724, 1.4115931958511667, 1.428714826379192, 1.434335021342342, 1.434335021342342]",[120.4525 243.7704 369.1035 486.8633 603.0592],1.434335021342342
9,time1672318520,4,"[114.8553, 115.8333, 113.6799, 114.8201]","[array([-8.  , -2.16,  0.  ,  1.36,  3.28,  8.  ]), array([-8.  , -2.4 , -1.44,  1.36,  2.72,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.48,  8.  ]), array([-8.  , -2.4 , -1.52,  1.52,  2.4 ,  8.  ])]","[array([3.44955419e-01, 2.71099770e-09, 2.70600418e-01, 7.43936963e-02,
       3.10050464e-01]), array([3.45775372e-01, 1.52385145e-08, 3.08126695e-01, 6.38598951e-03,
       3.39711929e-01]), array([3.43675227e-01, 1.53366035e-09, 3.13030313e-01, 2.04662659e-09,
       3.43294457e-01]), array([3.43677099e-01, 6.11445349e-09, 3.12645791e-01, 6.11445361e-09,
       3.43677098e-01])]","[1.3972074700921024, 1.4275698983292426, 1.4342883645355644, 1.434335021342342]",[114.8553 230.6886 344.3685 459.1886],1.434335021342342
